Timestamp,Goal x,Goal y,Goal z,Goal roll,Goal pitch,Goal yaw,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,measurement_temperature,measurement_x,measurement_std_x,measurement_y,measurement_std_y,measurement_z,measurement_std_z,measurement_rx,measurement_std_rx,measurement_ry,measurement_std_ry,measurement_rz,measurement_std_rz,Formatted_Timestamp,error_x,error_y,error_z,position_error,error_roll,error_pitch,error_yaw,orientation_error,temp_deviation
20201100000000.0,0.3,-0.4,0.8,3.14159,1.39626,1.5708,-1.06254,-0.178315,-1.9499,-0.814212,-2.07134,0.0955828,21.86750031,91.220439,0.012913,-3309.6559,0.0080185,-423.42565,0.0041634,-100.66879,0.0017423,-19.688754,0.0013791,-93.914679,0.0048966,,-208.779561,-2909.6559,-1223.4256500000001,3163.298386585446,-280.66863796050427,-99.68855910293632,-183.91488945914972,350.0533955204484,-0.17993311036789095
20201100000000.0,0.3,-0.4,0.8,3.14159,1.39626,1.5708,-1.06252,-2.02947,1.94986,-2.86264,-2.07127,0.0956427,21.86750031,93.583659,0.025121,-3310.7714,0.0065409,-422.57477,0.006381,-100.76179,0.0023571,-19.63544,0.001691,-93.811375,0.0063568,,-206.416341,-2910.7714,-1222.57477,3163.8405328224653,-280.7616379605043,-99.63524510293632,-183.8115854591497,350.0585356279629,-0.17993311036789095
20201100000000.0,0.3,-0.4,0.8,3.14159,1.74533,1.5708,-1.06254,-0.029177,-2.02579,-1.28583,-2.0713,-0.0972822,21.86750031,91.116117,0.017524,-3309.4853,0.012191,-429.40894,0.0085632,-79.431858,0.0014853,-19.783781,0.0016229,-86.69397,0.0064583,,-208.883883,-2909.4853,-1229.40894,3165.467347682672,-259.4317059605043,-119.78382385756798,-176.69418045914972,335.96697445381295,-0.17993311036789095
20201100000000.0,0.3,-0.4,0.8,3.14159,1.74533,1.5708,-1.06252,-1.94773,2.02583,-3.41891,-2.07139,-0.0971983,21.86750031,93.407532,0.0086708,-3310.3703,0.0059548,-428.66776,0.0035677,-79.554837,0.0018627,-19.68927,0.0014589,-86.640333,0.0035362,,-206.592468,-2910.3703,-1228.66776,3165.8427306832286,-259.5546849605043,-119.68931285756798,-176.6405434591497,336.00007096845553,-0.17993311036789095
20201100000000.0,0.3,-0.4,0.8,3.14159,1.5708,1.39626,-0.974749,-0.073118,-1.95973,-1.10874,-2.34221,-0.000860993,21.86750031,88.310831,0.0031367,-3310.5794,0.0098101,-426.51463,0.0039982,-90.044621,0.0010075,-10.076098,0.00099158,-90.284329,0.0018913,,-211.689169,-2910.5794,-1226.5146300000001,3165.536745258268,-270.04446896050433,-100.07630845914971,-170.28413410293632,334.56833241978904,-0.17993311036789095
20201100000000.0,0.3,-0.4,0.8,3.14159,1.5708,1.39626,-0.974809,-1.93322,1.95969,-3.16799,-2.34207,-0.000705544,21.86750031,90.72165,0.023999,-3311.3931,0.0096271,-425.6231,0.022221,-90.145063,0.0020142,-9.9877761,0.0024931,-90.19057,0.0067287,,-209.27835,-2911.3931,-1225.6231,3165.77939751966,-270.14491096050426,-99.98798655914972,-170.19037510293631,334.5753041569112,-0.17993311036789095
20201100000000.0,0.3,-0.4,0.8,3.14159,1.5708,1.74533,-1.16492,-0.131397,-2.02537,-0.984712,-1.80286,-0.000849072,21.86750031,93.813149,0.0065509,-3308.5817,0.013839,-426.54805,0.0032994,-90.166521,0.0011452,-30.057128,0.0014142,-90.387599,0.0019969,,-206.186851,-2908.5817,-1226.5480499999999,3163.3495921347344,-270.1663689605043,-120.05733845914972,-190.38764185756798,351.64056308577904,-0.17993311036789095
20201100000000.0,0.3,-0.4,0.8,3.14159,1.5708,1.74533,-1.16494,-2.04963,2.0253,-3.11719,-1.80285,-0.000765626,21.86750031,96.10598,0.0078757,-3309.8005,0.0070917,-425.78618,0.012404,-90.203276,0.0020001,-29.98467,0.0016053,-90.248378,0.0032455,,-203.89402,-2909.8005,-1225.78618,3164.0264664302354,-270.2031239605043,-119.98488045914971,-190.24842085756796,351.56871501259945,-0.17993311036789095
20201100000000.0,0.2,-0.4,0.8,2.96706,1.5708,1.5708,-1.56452,-0.23193,-2.09503,-0.814596,-1.40342,-0.000837151,21.86750031,187.92883,0.0065243,-3274.5173,0.0073374,-426.17083,0.0075154,-90.118155,0.0030522,-30.083144,0.0026964,-90.384517,0.0026908,,-12.071169999999995,-2874.5173,-1226.17083,3125.138449011075,-260.11817056208605,-120.08335445914972,-180.3847274591497,338.55594009740844,-0.17993311036789095
20201100000000.0,0.2,-0.4,0.8,2.96706,1.5708,1.5708,-1.56452,-2.21096,2.09495,-3.02544,-1.40348,-0.000897233,21.86750031,189.1487,0.0035925,-3275.5529,0.0045678,-425.84787,0.016419,-90.234941,0.0022161,-30.027249,0.0026201,-90.251882,0.0035509,,-10.851300000000009,-2875.5529,-1225.84787,3125.959889664875,-260.23495656208604,-120.02745945914971,-180.2520924591497,338.55522515092053,-0.17993311036789095
20201100000000.0,0.2,-0.4,0.8,3.14159,1.39626,1.5708,-1.40439,-0.270993,-2.02068,-0.672898,-1.73551,0.028291,21.86750031,185.41653,0.0023527,-3274.9309,0.0038305,-423.28279,0.0019797,-100.71576,0.0011297,-19.641837,0.0010427,-93.944328,0.0016101,,-14.583470000000005,-2874.9309,-1223.28279,3124.3977246314585,-280.7156079605043,-99.64164210293632,-183.94453845914973,350.0932770313575,-0.17993311036789095
20201100000000.0,0.2,-0.4,0.8,3.14159,1.39626,1.5708,-1.40437,-2.18499,2.02066,-2.80025,-1.73545,0.028303,21.86750031,186.95103,0.0064135,-3276.2267,0.0056976,-423.33427,0.0041143,-100.84699,0.0015741,-19.607372,0.0012807,-93.832913,0.00097672,,-13.048969999999997,-2876.2267,-1223.33427,3125.6034683829275,-280.84683796050433,-99.60717710293632,-183.8331234591497,350.1301949326514,-0.17993311036789095
20201100000000.0,0.2,-0.4,0.8,3.14159,1.74533,1.5708,-1.40439,-0.122555,-2.11692,-1.07916,-1.73548,-0.0299538,21.86750031,185.49196,0.0074379,-3275.1067,0.0026851,-429.05456,0.0091974,-79.462787,0.0035154,-19.749117,0.0030194,-86.721906,0.0060652,,-14.508039999999994,-2875.1067,-1229.05456,3126.823329046002,-259.4626349605043,-119.74915985756797,-176.72211645914973,335.9931943850092,-0.17993311036789095
20201100000000.0,0.2,-0.4,0.8,3.14159,1.74533,1.5708,-1.40439,-2.12043,2.11696,-3.31495,-1.73548,-0.0299419,21.99250031,187.33453,0.0042288,-3276.5909,0.0068516,-427.97662,0.0079627,-79.476241,0.0030209,-19.653143,0.0015029,-86.569806,0.00089044,,-12.66547,-2876.5909,-1227.97662,3127.756735962654,-259.4760889605043,-119.65318585756798,-176.5700164591497,335.8894108787737,-0.05493311036789095
20201100000000.0,0.2,-0.4,0.8,3.14159,1.5708,1.39626,-1.26715,-0.160033,-2.04951,-0.93207,-2.04972,-0.000897233,21.99250031,182.56949,0.016168,-3276.4194,0.0099218,-426.07318,0.0060301,-90.010431,0.0015844,-10.081031,0.00091705,-90.273869,0.0056864,,-17.430509999999998,-2876.4194,-1226.0731799999999,3126.875090260328,-270.0102789605043,-100.08124145914971,-170.27367410293633,334.53688844258556,-0.05493311036789095
20201100000000.0,0.2,-0.4,0.8,3.14159,1.5708,1.39626,-1.26719,-2.09933,2.04939,-3.09145,-2.04962,-0.000693623,21.99250031,184.54259,0.01108,-3277.735,0.016715,-425.65455,0.0065234,-90.130753,0.0040347,-10.01364,0.0018033,-90.170336,0.0053047,,-15.45741000000001,-2877.735,-1225.65455,3127.9109222745797,-270.1306009605043,-100.01385045914971,-170.17014110293633,334.56118839749126,-0.05493311036789095
